ID,Species,yday,Hour,Day,Mass,deltaM,Temp,RH,VPD,gwc,WP,Rad_weighted,Shoot,Leaf,deltaM.Leaf,deltaM.Shoot,Batch,Group
Acaexu1,Acaexu,269,9,3,5732.275,8.033333333,26.05,81.28333333,0.629629143,0.064463704,-0.637064648,797.4169494,6.0147,2.924,2.747378021,1.335616628,14,Tree
Acaexu1,Acaexu,269,2,3,5744.083333,0.125,23.475,97.175,0.081669691,0.066014725,-0.628045079,797.4169494,6.0147,2.924,0.042749658,0.020782416,14,Tree
Acaexu1,Acaexu,266,23,0,5927.975,0.133333333,23.475,94.88333333,0.147912501,0.090168835,-0.518692988,797.4169494,6.0147,2.924,0.045599635,0.022167911,14,Tree
Acaexu1,Acaexu,271,16,5,5501.766667,4.825,26.01666667,70.09166667,1.006309026,0.034186511,-0.929410949,797.4169494,6.0147,2.924,1.650136799,0.802201274,14,Tree
Acaexu1,Acaexu,273,4,7,5442.766667,0.15,23.4,97.44166667,0.073632166,0.026436881,-1.088045358,797.4169494,6.0147,2.924,0.05129959,0.0249389,14,Tree
Acaexu1,Acaexu,272,5,6,5485.291667,0.1,23.41666667,97.475,0.072748192,0.032022525,-0.966943095,797.4169494,6.0147,2.924,0.034199726,0.016625933,14,Tree
Acaexu1,Acaexu,269,17,3,5659.116667,9.233333333,25.81666667,70.20833333,0.990620475,0.054854382,-0.701383165,797.4169494,6.0147,2.924,3.157774738,1.535127826,14,Tree
Acaexu1,Acaexu,268,7,2,5843.733333,0.216666667,23.4,97.96666667,0.058521982,0.07910372,-0.562750028,797.4169494,6.0147,2.924,0.074099407,0.036022855,14,Tree
Acaexu1,Acaexu,273,2,7,5443.108333,0.15,23.4,96.60833333,0.097616585,0.026481758,-1.08689313,797.4169494,6.0147,2.924,0.05129959,0.0249389,14,Tree
Acaexu1,Acaexu,270,13,4,5592.991667,7.941666667,26.125,71.90833333,0.951270065,0.046168885,-0.776829679,797.4169494,6.0147,2.924,2.716028272,1.320376189,14,Tree
Acaexu1,Acaexu,268,21,2,5744.966667,0.391666667,23.38333333,86.63333333,0.384208116,0.066130751,-0.627383214,797.4169494,6.0147,2.924,0.133948928,0.065118238,14,Tree
Acaexu1,Acaexu,269,15,3,5677.733333,9.483333333,25.98333333,71.18333333,0.967687774,0.057299675,-0.683447905,797.4169494,6.0147,2.924,3.243274054,1.576692659,14,Tree
Acaexu1,Acaexu,267,3,1,5927.441667,0.116666667,23.43333333,97.11666667,0.083158645,0.090098782,-0.518947622,797.4169494,6.0147,2.924,0.039899681,0.019396922,14,Tree
Acaexu1,Acaexu,269,22,3,5636.008333,0.233333333,23.4,91.95833333,0.231449644,0.05181911,-0.72546374,797.4169494,6.0147,2.924,0.079799362,0.038793844,14,Tree
Acaexu1,Acaexu,270,12,4,5600.933333,8.166666667,26.175,73.6,0.896545868,0.04721202,-0.766610909,797.4169494,6.0147,2.924,2.792977656,1.357784539,14,Tree
Acaexu1,Acaexu,273,7,7,5442.358333,0.116666667,23.48333333,97.5,0.072315767,0.026383246,-1.089427037,797.4169494,6.0147,2.924,0.039899681,0.019396922,14,Tree
Acaexu1,Acaexu,270,1,4,5635.575,0.158333333,23.5,96.34166667,0.105928167,0.051762191,-0.725936421,797.4169494,6.0147,2.924,0.054149567,0.026324394,14,Tree
